Timestamp,Memory Usage (MB)
2024-06-04 03:33:55.734000,1012.97265625
2024-06-04 03:33:56.736000,1013.26171875
2024-06-04 03:33:58.747000,1017.6484375
2024-06-04 03:33:59.759000,1021.41796875
2024-06-04 03:34:02.777000,1022.78125
2024-06-04 03:34:03.785000,1026.54296875
2024-06-04 03:34:04.793000,1025.8046875
2024-06-04 03:34:06.800000,1026.49609375
2024-06-04 03:34:09.812000,1025.4765625
2024-06-04 03:34:10.816000,1025.19140625
2024-06-04 03:34:12.826000,1025.671875
2024-06-04 03:34:13.827000,1025.4296875
2024-06-04 03:34:14.846000,1025.375
2024-06-04 03:34:16.855000,1026.3203125
2024-06-04 03:34:18.872000,1030.8359375
2024-06-04 03:34:19.881000,1035.09765625
2024-06-04 03:34:21.899000,1035.06640625
2024-06-04 03:34:22.904000,1034.64453125
2024-06-04 03:34:24.915000,1034.56640625
2024-06-04 03:34:26.925000,1037.55859375
2024-06-04 03:34:27.934000,1038.2890625
2024-06-04 03:34:28.955000,1039.37109375
2024-06-04 03:34:30.965000,1039.109375
2024-06-04 03:34:37.010000,1046.2890625
2024-06-04 03:34:42.052000,1049.14453125
2024-06-04 03:34:43.052000,1050.30078125
2024-06-04 03:34:44.061000,1050.24609375
2024-06-04 03:34:46.073000,1051.2734375
2024-06-04 03:34:47.079000,1051.11328125
2024-06-04 03:34:48.081000,1057.07421875
2024-06-04 03:34:51.100000,1063.61328125
2024-06-04 03:34:53.106000,1065.19140625
2024-06-04 03:34:54.110000,1064.7109375
2024-06-04 03:34:56.118000,1066.42578125
2024-06-04 03:34:58.134000,1068.85546875
2024-06-04 03:34:59.137000,1068.48046875
2024-06-04 03:35:00.142000,1069.43359375
2024-06-04 03:35:02.158000,1070.07421875
2024-06-04 03:35:03.166000,1069.4140625
2024-06-04 03:35:04.167000,1068.91015625
2024-06-04 03:35:05.171000,1070.0625
2024-06-04 03:35:07.180000,1070.69921875
2024-06-04 03:35:08.184000,1071.61328125
2024-06-04 03:35:11.193000,1071.91796875
2024-06-04 03:35:13.203000,1073.85546875
2024-06-04 03:35:15.211000,1075.859375
2024-06-04 03:35:17.217000,1076.56640625
2024-06-04 03:35:20.239000,1069.203125
2024-06-04 03:35:22.254000,1069.48828125
2024-06-04 03:35:23.254000,1069.06640625
2024-06-04 03:35:24.260000,1069.4765625
2024-06-04 03:35:27.272000,1069.46875
2024-06-04 03:35:30.280000,1070.6875
2024-06-04 03:35:32.288000,1070.51171875
2024-06-04 03:35:36.298000,1070.12109375
2024-06-04 03:35:38.301000,1070.30078125
2024-06-04 03:35:39.304000,1070.375
2024-06-04 03:35:42.316000,1075.08984375
2024-06-04 03:35:44.319000,1076.2265625
2024-06-04 03:35:45.319000,1076.9453125
2024-06-04 03:35:46.327000,1077.54296875
2024-06-04 03:35:49.367000,1095.51171875
2024-06-04 03:35:50.371000,1096.14453125
2024-06-04 03:35:53.378000,1091.921875
2024-06-04 03:35:54.382000,1093.2421875
2024-06-04 03:35:55.387000,1094.23828125
2024-06-04 03:35:56.389000,1094.46484375
2024-06-04 03:35:57.396000,1095.83984375
2024-06-04 03:35:58.398000,1096.02734375
2024-06-04 03:35:59.406000,1095.27734375
2024-06-04 03:36:01.410000,1095.453125
2024-06-04 03:36:02.417000,1096.1484375
2024-06-04 03:36:04.434000,1096.8203125
2024-06-04 03:36:05.444000,1097.08203125
2024-06-04 03:36:06.502000,1097.53125
2024-06-04 03:36:07.511000,1097.96875
2024-06-04 03:36:08.515000,1097.9609375
2024-06-04 03:36:10.529000,1098.609375
2024-06-04 03:36:11.532000,1098.86328125
2024-06-04 03:36:12.546000,1098.69140625
2024-06-04 03:36:13.551000,1099.46875
2024-06-04 03:36:14.557000,1099.46484375
2024-06-04 03:36:20.600000,1098.4921875
2024-06-04 03:36:24.615000,1098.44921875
2024-06-04 03:36:25.619000,1098.3203125
2024-06-04 03:36:29.644000,1098.828125
2024-06-04 03:36:30.649000,1099.31640625
2024-06-04 03:36:31.657000,1099.48046875
2024-06-04 03:36:34.665000,1099.734375
2024-06-04 03:36:38.681000,1101.14453125
2024-06-04 03:36:39.684000,1101.84765625
2024-06-04 03:36:41.696000,1102.9375
2024-06-04 03:36:43.712000,1104.55859375
2024-06-04 03:36:45.713000,1105.37890625
2024-06-04 03:36:46.721000,1105.16015625
2024-06-04 03:36:47.735000,1105.28125
2024-06-04 03:36:49.753000,1115.32421875
2024-06-04 03:36:50.765000,1116.33984375
2024-06-04 03:36:52.782000,1116.1484375
2024-06-04 03:36:57.807000,1118.36328125
2024-06-04 03:36:59.815000,1119.8828125
2024-06-04 03:37:00.827000,1120.515625
2024-06-04 03:37:01.830000,1120.85546875
2024-06-04 03:37:03.844000,1121.13671875
2024-06-04 03:37:04.845000,1121.2421875
2024-06-04 03:37:05.845000,1121.77734375
2024-06-04 03:37:06.851000,1121.4296875
2024-06-04 03:37:07.855000,1121.3203125
2024-06-04 03:37:08.855000,1122.23046875
2024-06-04 03:37:10.865000,1122.046875
2024-06-04 03:37:12.868000,1122.72265625
2024-06-04 03:37:13.879000,1122.13671875
2024-06-04 03:37:14.888000,1123.8359375
2024-06-04 03:37:15.890000,1123.9375
2024-06-04 03:37:17.903000,1123.37109375
2024-06-04 03:37:18.911000,1123.01953125
2024-06-04 03:37:20.918000,1123.0546875
2024-06-04 03:37:21.922000,1122.96875
2024-06-04 03:37:22.927000,1124.24609375
2024-06-04 03:37:24.941000,1124.3671875
2024-06-04 03:37:26.951000,1124.68359375
2024-06-04 03:37:28.959000,1124.66015625
2024-06-04 03:37:29.968000,1124.80078125
2024-06-04 03:37:30.968000,1123.5859375
2024-06-04 03:37:31.970000,1125.1875
2024-06-04 03:37:32.978000,1125.23828125
2024-06-04 03:37:36.003000,1125.3203125
2024-06-04 03:37:37.010000,1126.4296875
2024-06-04 03:37:39.020000,1126.13671875
2024-06-04 03:37:40.029000,1126.3515625
2024-06-04 03:37:41.029000,1126.3203125
2024-06-04 03:37:42.078000,1126.84375
2024-06-04 03:37:43.086000,1127.20703125
2024-06-04 03:37:44.089000,1127.4453125
2024-06-04 03:37:45.093000,1127.94921875
2024-06-04 03:37:48.102000,1130.19921875
2024-06-04 03:37:49.106000,1130.30859375
2024-06-04 03:37:50.111000,1135.0
2024-06-04 03:37:51.118000,1140.1171875
2024-06-04 03:37:52.123000,1140.51953125
2024-06-04 03:37:54.135000,1140.375
2024-06-04 03:37:55.138000,1141.25390625
2024-06-04 03:37:56.143000,1139.09375
2024-06-04 03:37:57.149000,1140.0078125
2024-06-04 03:37:58.152000,1144.21875
2024-06-04 03:37:59.155000,1144.8671875
2024-06-04 03:38:00.164000,1145.25390625
2024-06-04 03:38:01.168000,1145.1640625
2024-06-04 03:38:04.191000,1146.23828125
2024-06-04 03:38:05.198000,1146.875
2024-06-04 03:38:07.202000,1147.734375
2024-06-04 03:38:09.212000,1147.59765625
2024-06-04 03:38:10.216000,1147.1953125
2024-06-04 03:38:16.255000,1150.5625
2024-06-04 03:38:17.260000,1148.6796875
2024-06-04 03:38:19.285000,1146.625
2024-06-04 03:38:20.289000,1146.55078125
