worker1-1  | 2024/06/04 17:52:28.2752024/06/04 17:52:28.275  2024/06/04 17:52:28.276 FIG10b: Memory usage without flush after 6014 tasks: 1129.9609375 MB
worker1-1  | 2024/06/04 17:52:29.281 FIG10b: Memory usage without flush after 6145 tasks: 1130.45703125 MB
worker1-1  | took this many seconds: 0.01622024/06/04 17:52:30.288 FIG10b: Memory usage without flush after 6271 tasks: 1130.7109375 MB
worker1-1  | 2024/06/04 17:52:31.297 FIG10b: Memory usage without flush after 6396 tasks: 1130.2578125 MB
worker1-1  |  [worker]in Run() rn 2024/06/04 17:52:32.304 FIG10b: Memory usage without flush after 6516 tasks: 1130.8046875 MB
worker1-1  | 2024/06/04 17:52:33.305 FIG10b: Memory usage without flush after 6638 tasks: 1131.09375 MB
worker1-1  | [worker] 2024/06/04 17:52:34.305 FIG10b: Memory usage without flush after 6759 tasks: 1131.171875 MB
worker1-1  | 2024/06/04 17:52:35.306 2024/06/04 17:52:35.307 [worker]FIG10b: Memory usage without flush after 6890 tasks: 1131.17578125 MB 
worker1-1  |  FIG10b: Memory usage without flush after 7021 tasks: 1131.42578125 MB
worker1-1  | 2024/06/04 17:52:37.311 FIG10b: Memory usage without flush after 7131 tasks: 1131.3046875 MB
worker1-1  | 2024/06/04 17:52:38.320 FIG10b: Memory usage without flush after 7258 tasks: 1131.81640625 MB2024/06/04 17:52:38.320 [lobs] STORED!!!
worker1-1  | 2024/06/04 17:52:39.325 FIG10b: Memory usage without flush after 7392 tasks: 1131.5703125 MB
worker1-1  |  took this many seconds: 0.0175[worker]2024/06/04 17:52:40.328 FIG10b: Memory usage without flush after 7519 tasks: 1132.1015625 MB
worker1-1  | 2024/06/04 17:52:41.329 [worker]2024/06/04 17:52:41.330 FIG10b: Memory usage without flush after 7644 tasks: 1131.64453125 MB
worker1-1  | 2024/06/04 17:52:42.336 FIG10b: Memory usage without flush after 7769 tasks: 1131.93359375 MB
worker1-1  | 2024/06/04 17:52:43.337 FIG10b: Memory usage without flush after 7866 tasks: 1132.62109375 MB
worker1-1  | 2024/06/04 17:52:44.339 FIG10b: Memory usage without flush after 7964 tasks: 1132.5703125 MB
worker1-1  | [worker]2024/06/04 17:52:45.359 FIG10b: Memory usage without flush after 8064 tasks: 1133.00390625 MB
