worker1-1  | 2024/06/04 03:34:46.073 FIG10b: Memory usage without flush after 5330 tasks: 1051.2734375 MB
worker1-1  | 2024/06/04 03:34:47.079 FIG10b: Memory usage without flush after 5443 tasks: 1051.11328125 MB
worker1-1  | 2024/06/04 03:34:48.081 FIG10b: Memory usage without flush after 5553 tasks: 1057.07421875 MB
worker1-1  | 2024/06/04 03:34:49.0892024/06/04 03:34:49.090 FIG10b: Memory usage without flush after 5681 tasks: 1056.59375 MB
worker1-1  | 2024/06/04 03:34:50.0942024/06/04 03:34:50.094 FIG10b: Memory usage without flush after 5804 tasks: 1063.7734375 MB
worker1-1  | 2024/06/04 03:34:51.100 FIG10b: Memory usage without flush after 5918 tasks: 1063.61328125 MB
worker1-1  |  [worker]2024/06/04 03:34:52.103 FIG10b: Memory usage without flush after 6036 tasks: 1064.015625 MB
worker1-1  | 2024/06/04 03:34:53.106 FIG10b: Memory usage without flush after 6152 tasks: 1065.19140625 MB
worker1-1  | 2024/06/04 03:34:54.110 FIG10b: Memory usage without flush after 6267 tasks: 1064.7109375 MB
worker1-1  | gonna store now2024/06/04 03:34:55.113 FIG10b: Memory usage without flush after 6383 tasks: 1065.71484375 MB
worker1-1  |  2024/06/04 03:34:56.118 FIG10b: Memory usage without flush after 6510 tasks: 1066.42578125 MB
worker1-1  | [worker] 2024/06/04 03:34:57.1232024/06/04 03:34:57.123 FIG10b: Memory usage without flush after 6629 tasks: 1067.671875 MB
worker1-1  | 2024/06/04 03:34:58.134 FIG10b: Memory usage without flush after 6748 tasks: 1068.85546875 MB
worker1-1  | 2024/06/04 03:34:59.137 FIG10b: Memory usage without flush after 6873 tasks: 1068.48046875 MB
worker1-1  | 2024/06/04 03:35:00.142 FIG10b: Memory usage without flush after 7012 tasks: 1069.43359375 MB
worker1-1  | Executed!2024/06/04 03:35:01.157 FIG10b: Memory usage without flush after 7149 tasks: 1069.0859375 MB
worker1-1  | 2024/06/04 03:35:02.158 FIG10b: Memory usage without flush after 7271 tasks: 1070.07421875 MB
worker1-1  | 2024/06/04 03:35:03.166 FIG10b: Memory usage without flush after 7382 tasks: 1069.4140625 MB
worker1-1  |  2024/06/04 03:35:04.167 FIG10b: Memory usage without flush after 7503 tasks: 1068.91015625 MB
worker1-1  | 2024/06/04 03:35:05.171 FIG10b: Memory usage without flush after 7622 tasks: 1070.0625 MB
worker1-1  | [worker]2024/06/04 03:35:06.174 FIG10b: Memory usage without flush after 7739 tasks: 1070.83984375 MB
worker1-1  | 2024/06/04 03:35:07.180 FIG10b: Memory usage without flush after 7846 tasks: 1070.69921875 MB
worker1-1  | 2024/06/04 03:35:08.184 FIG10b: Memory usage without flush after 7966 tasks: 1071.61328125 MB
worker1-1  | [worker] stored... Executed!2024/06/04 03:35:09.188 FIG10b: Memory usage without flush after 8078 tasks: 1072.328125 MB
worker1-1  | 2024/06/04 03:35:10.192 2024/06/04 03:35:10.1922024/06/04 03:35:10.1932024/06/04 03:35:10.193 FIG10b: Memory usage without flush after 8204 tasks: 1072.8359375 MB
worker1-1  | 2024/06/04 03:35:11.193 FIG10b: Memory usage without flush after 8333 tasks: 1071.91796875 MB
worker1-1  | 2024/06/04 03:35:12.193 2024/06/04 03:35:12.193 FIG10b: Memory usage without flush after 8443 tasks: 1072.87890625 MB
worker1-1  | 2024/06/04 03:35:13.203 FIG10b: Memory usage without flush after 8550 tasks: 1073.85546875 MB
worker1-1  | 2024/06/04 03:35:14.205 2024/06/04 03:35:14.205 FIG10b: Memory usage without flush after 8673 tasks: 1073.84375 MB
worker1-1  | 2024/06/04 03:35:15.211 FIG10b: Memory usage without flush after 8794 tasks: 1075.859375 MB
worker1-1  | 2024/06/04 03:35:16.214 [worker]2024/06/04 03:35:16.215 FIG10b: Memory usage without flush after 8921 tasks: 1075.84375 MB
worker1-1  | 2024/06/04 03:35:17.217 FIG10b: Memory usage without flush after 9042 tasks: 1076.56640625 MB
worker1-1  | 2024/06/04 03:35:18.2262024/06/04 03:35:18.227 FIG10b: Memory usage without flush after 9157 tasks: 1076.85546875 MB
worker1-1  |  FIG10b: Memory usage without flush after 9258 tasks: 1077.8671875 MB
worker1-1  | 2024/06/04 03:35:20.239 FIG10b: Memory usage without flush after 9390 tasks: 1069.203125 MB
worker1-1  | 2024/06/04 03:35:21.248 [worker]2024/06/04 03:35:21.249 FIG10b: Memory usage without flush after 9516 tasks: 1069.6484375 MB
worker1-1  | 2024/06/04 03:35:22.254 FIG10b: Memory usage without flush after 9632 tasks: 1069.48828125 MB
worker1-1  | 2024/06/04 03:35:23.254 FIG10b: Memory usage without flush after 9746 tasks: 1069.06640625 MB
worker1-1  | 2024/06/04 03:35:24.260 FIG10b: Memory usage without flush after 9862 tasks: 1069.4765625 MB
worker1-1  |  Executed!2024/06/04 03:35:25.265 FIG10b: Memory usage without flush after 9970 tasks: 1069.65625 MB
worker1-1  | 2024/06/04 03:35:26.2652024/06/04 03:35:26.265 FIG10b: Memory usage without flush after 10084 tasks: 1069.08203125 MB
worker1-1  | 2024/06/04 03:35:27.272 FIG10b: Memory usage without flush after 10192 tasks: 1069.46875 MB
worker1-1  | 2024/06/04 03:35:28.2752024/06/04 03:35:28.276[worker] FIG10b: Memory usage without flush after 10301 tasks: 1069.15234375 MB
worker1-1  | 2024/06/04 03:35:29.2762024/06/04 03:35:29.276 FIG10b: Memory usage without flush after 10408 tasks: 1069.77734375 MB
worker1-1  | 2024/06/04 03:35:30.280 FIG10b: Memory usage without flush after 10524 tasks: 1070.6875 MB
worker1-1  | 2024/06/04 03:35:31.285 in Run() rn2024/06/04 03:35:31.285 FIG10b: Memory usage without flush after 10629 tasks: 1070.36328125 MB
worker1-1  | 2024/06/04 03:35:32.288 FIG10b: Memory usage without flush after 10750 tasks: 1070.51171875 MB
worker1-1  | 2024/06/04 03:35:33.2882024/06/04 03:35:33.289 FIG10b: Memory usage without flush after 10874 tasks: 1070.49609375 MB
worker1-1  | Executed!2024/06/04 03:35:34.295 FIG10b: Memory usage without flush after 11015 tasks: 1069.796875 MB
