worker1-1  | 2024/06/04 01:45:00.974 FIG10b: Memory usage without flush after 5772 tasks: 1021.69921875 MB
worker1-1  | 2024/06/04 01:45:01.975 [worker] took this many seconds: 0.009632024/06/04 01:45:01.976 FIG10b: Memory usage without flush after 5887 tasks: 1021.63671875 MB
worker1-1  | 2024/06/04 01:45:02.982 FIG10b: Memory usage without flush after 6011 tasks: 1021.86328125 MB
worker1-1  | 2024/06/04 01:45:03.990 FIG10b: Memory usage without flush after 6144 tasks: 1021.4609375 MB
worker1-1  | 2024/06/04 01:45:04.9962024/06/04 01:45:04.996 FIG10b: Memory usage without flush after 6274 tasks: 1022.5234375 MB
worker1-1  | 2024/06/04 01:45:06.003 FIG10b: Memory usage without flush after 6402 tasks: 1022.73828125 MB
worker1-1  | took this many seconds: 0.01812024/06/04 01:45:07.004 FIG10b: Memory usage without flush after 6523 tasks: 1023.6640625 MB
worker1-1  |  2024/06/04 01:45:08.0142024/06/04 01:45:08.014[worker] FIG10b: Memory usage without flush after 6644 tasks: 1023.75390625 MB
worker1-1  | 2024/06/04 01:45:09.0182024/06/04 01:45:09.018 FIG10b: Memory usage without flush after 6766 tasks: 1026.2109375 MB
worker1-1  | 2024/06/04 01:45:10.023 FIG10b: Memory usage without flush after 6894 tasks: 1026.3515625 MB
worker1-1  | 2024/06/04 01:45:11.028 FIG10b: Memory usage without flush after 7002 tasks: 1025.765625 MB
worker1-1  | 2024/06/04 01:45:12.038 FIG10b: Memory usage without flush after 7112 tasks: 1025.53125 MB
worker1-1  | [worker] 2024/06/04 01:45:13.046 FIG10b: Memory usage without flush after 7230 tasks: 1025.96484375 MB
worker1-1  | 2024/06/04 01:45:14.047 FIG10b: Memory usage without flush after 7336 tasks: 1026.4296875 MB
worker1-1  | 2024/06/04 01:45:15.051 FIG10b: Memory usage without flush after 7453 tasks: 1026.5234375 MB
worker1-1  |  FIG10b: Memory usage without flush after 7576 tasks: 1026.00390625 MB
worker1-1  | 2024/06/04 01:45:17.055 FIG10b: Memory usage without flush after 7687 tasks: 1026.36328125 MB
worker1-1  | 2024/06/04 01:45:18.063 FIG10b: Memory usage without flush after 7794 tasks: 1026.046875 MB
worker1-1  |  [worker][worker] 2024/06/04 01:45:19.069 FIG10b: Memory usage without flush after 7928 tasks: 1026.15234375 MB
worker1-1  |  FIG10b: Memory usage without flush after 8054 tasks: 1025.4609375 MB
worker1-1  | FIG10b: Memory usage without flush after 8169 tasks: 1025.1171875 MB
worker1-1  | 2024/06/04 01:45:22.081 FIG10b: Memory usage without flush after 8293 tasks: 1026.33203125 MB
worker1-1  | 2024/06/04 01:45:23.084 FIG10b: Memory usage without flush after 8417 tasks: 1026.7421875 MB
worker1-1  | 2024/06/04 01:45:24.0862024/06/04 01:45:24.086 FIG10b: Memory usage without flush after 8547 tasks: 1025.98828125 MB
worker1-1  |  2024/06/04 01:45:25.088 [worker]2024/06/04 01:45:25.089 FIG10b: Memory usage without flush after 8674 tasks: 1027.140625 MB
worker1-1  | gonna store now2024/06/04 01:45:26.097 FIG10b: Memory usage without flush after 8815 tasks: 1026.8828125 MB
worker1-1  | 2024/06/04 01:45:27.102 FIG10b: Memory usage without flush after 8951 tasks: 1028.72265625 MB
