gcs-1  | 2024/06/04 18:58:14 server listening at [::]:50000
gcs-1  | 2024/06/04 19:18:26.785 7.7218780517578125
gcs-1  | 2024/06/04 19:19:00.886 10.090690612792969
gcs-1  | 2024/06/04 19:19:05.890 14.087242126464844
gcs-1  | 2024/06/04 19:19:10.892 15.348991394042969
gcs-1  | 2024/06/04 19:19:15.894 16.777236938476562
gcs-1  | 2024/06/04 19:19:20.895 19.112342834472656
gcs-1  | 2024/06/04 19:19:25.896 14.24517822265625
gcs-1  | 2024/06/04 19:19:30.902 16.9776611328125
gcs-1  | 2024/06/04 19:19:35.905 19.4801025390625
gcs-1  | 2024/06/04 19:19:40.906 21.99610137939453
gcs-1  | 2024/06/04 19:19:45.988 9.858772277832031
gcs-1  | 2024/06/04 19:19:50.993 11.033058166503906
gcs-1  | 2024/06/04 19:19:55.995 13.123298645019531
