worker1-1  | 2024/06/04 05:02:58.760 FIG10b: Memory usage without flush after 4953 tasks: 1093.91015625 MB
worker1-1  | 2024/06/04 05:02:59.763 FIG10b: Memory usage without flush after 5056 tasks: 1093.84765625 MB
worker1-1  | [worker] 2024/06/04 05:03:00.771 FIG10b: Memory usage without flush after 5156 tasks: 1094.3125 MB
worker1-1  | 2024/06/04 05:03:01.777 FIG10b: Memory usage without flush after 5251 tasks: 1094.30859375 MB
worker1-1  |  FIG10b: Memory usage without flush after 5359 tasks: 1094.29296875 MB
worker1-1  | 2024/06/04 05:03:03.784 FIG10b: Memory usage without flush after 5474 tasks: 1094.41015625 MB
worker1-1  |  FIG10b: Memory usage without flush after 5562 tasks: 1094.703125 MB
worker1-1  |  FIG10b: Memory usage without flush after 5656 tasks: 1094.7265625 MB
worker1-1  | 2024/06/04 05:03:06.818 FIG10b: Memory usage without flush after 5745 tasks: 1094.76171875 MB
worker1-1  | 2024/06/04 05:03:07.8252024/06/04 05:03:07.825 FIG10b: Memory usage without flush after 5837 tasks: 1095.03515625 MB
worker1-1  | 2024/06/04 05:03:08.8392024/06/04 05:03:08.840 FIG10b: Memory usage without flush after 5936 tasks: 1095.2578125 MB
worker1-1  | 2024/06/04 05:03:09.845 FIG10b: Memory usage without flush after 6051 tasks: 1094.91796875 MB
worker1-1  |  2024/06/04 05:03:10.847[worker]2024/06/04 05:03:10.847 2024/06/04 05:03:10.848 FIG10b: Memory usage without flush after 6170 tasks: 1095.015625 MB
worker1-1  | 2024/06/04 05:03:11.848 FIG10b: Memory usage without flush after 6276 tasks: 1095.92578125 MB
worker1-1  | 2024/06/04 05:03:12.860 FIG10b: Memory usage without flush after 6383 tasks: 1095.65234375 MB
worker1-1  | FIG10b: Memory usage without flush after 6506 tasks: 1096.24609375 MB
worker1-1  | 2024/06/04 05:03:14.872 FIG10b: Memory usage without flush after 6633 tasks: 1097.30078125 MB
worker1-1  | 2024/06/04 05:03:16.0052024/06/04 05:03:16.004  FIG10b: Memory usage without flush after 6730 tasks: 1097.03515625 MB[worker] 
worker1-1  | 2024/06/04 05:03:17.012 FIG10b: Memory usage without flush after 6837 tasks: 1096.73046875 MB
worker1-1  | 2024/06/04 05:03:18.0152024/06/04 05:03:18.015 FIG10b: Memory usage without flush after 6946 tasks: 1097.6484375 MB
worker1-1  | 2024/06/04 05:03:19.022 FIG10b: Memory usage without flush after 7071 tasks: 1097.453125 MB
worker1-1  | 2024/06/04 05:03:20.023 FIG10b: Memory usage without flush after 7183 tasks: 1097.36328125 MB
worker1-1  | 2024/06/04 05:03:21.0282024/06/04 05:03:21.028 FIG10b: Memory usage without flush after 7279 tasks: 1098.08203125 MB
worker1-1  | [worker]2024/06/04 05:03:22.032 FIG10b: Memory usage without flush after 7411 tasks: 1117.26171875 MB
worker1-1  | 2024/06/04 05:03:23.0332024/06/04 05:03:23.033 FIG10b: Memory usage without flush after 7514 tasks: 1117.23046875 MB
worker1-1  |  2024/06/04 05:03:24.034 FIG10b: Memory usage without flush after 7632 tasks: 1117.375 MB
worker1-1  | 2024/06/04 05:03:25.037 2024/06/04 05:03:25.038 FIG10b: Memory usage without flush after 7750 tasks: 1117.7421875 MB
worker1-1  | 2024/06/04 05:03:26.043[worker]2024/06/04 05:03:26.044 FIG10b: Memory usage without flush after 7862 tasks: 1118.1484375 MB
worker1-1  | 2024/06/04 05:03:27.047 2024/06/04 05:03:27.047 FIG10b: Memory usage without flush after 7975 tasks: 1118.29296875 MB
worker1-1  | 2024/06/04 05:03:28.0492024/06/04 05:03:28.049 FIG10b: Memory usage without flush after 8089 tasks: 1119.4453125 MB
worker1-1  | 2024/06/04 05:03:29.054  [worker]2024/06/04 05:03:29.055 FIG10b: Memory usage without flush after 8201 tasks: 1120.78515625 MB
worker1-1  | 2024/06/04 05:03:30.060 FIG10b: Memory usage without flush after 8325 tasks: 1121.453125 MB
worker1-1  | 2024/06/04 05:03:31.064 2024/06/04 05:03:31.065 FIG10b: Memory usage without flush after 8444 tasks: 1122.74609375 MB
worker1-1  | 2024/06/04 05:03:32.067 FIG10b: Memory usage without flush after 8566 tasks: 1122.484375 MB
